utterance,name,h,m,s
"So, you got to put a lot of weight on that. A lot of people died to win independence for the country and fight for the democracy that we have. And we should treasure that and not give up our liberties too easily. And I think we probably did that, actually. So.",Elon Musk, 01,17,26
"Well, I like what you said when you said that it should be a choice and that to require people to stay home, require people to not go to work, and to arrest people for trying to make a living. This all seems wrong. And I think it’s a wrong approach. It’s an infantilization of the society. That daddy’s going to tell you what to do.",Joe Rogan, 01,17,48
"Fundamentally a violation of the constitution. Freedom of assembly and it’s just, I don’t think these things stand up in court, really.",Elon Musk, 01,18,14
"They’re arresting people for protesting because they’re protesting and violating social distancing, and these mandates that tell people that they have to stay home.",Joe Rogan, 01,18,24
Yeah. These would definitely not stand up if the Supreme court… It’s obviously a complete violation of rights.,Elon Musk, 01,18,33
Yeah.,Joe Rogan, 01,18,41
Yeah.,Elon Musk, 01,18,42
"And again, this is not in any way disrespecting the people who have died from this disease. That’s certainly a real thing to think of.",Joe Rogan, 01,18,42
"Yeah. I mean it just should be if you’re at risk, you should not be compelled to leave your house or leave a place of safety, but if you’re not at risk, or if you are at risk and you wish to take a risk with your life, you should have the right to do that.",Elon Musk, 01,18,51
"And it seems like at this point in time, particularly, our resources would be best served protecting the people that are at risk versus penalizing the people that are not at high risk for living their life the way they did, particularly having a career, and making a living, and feeding your family, paying your bills, keeping your store open, keeping your restaurant open.",Joe Rogan, 01,19,07
"Yes. I mean, there’s a strong downside to this. So yeah, I just believe this is a free country. You should be allowed to do what you want as long as it does not endanger others.",Elon Musk, 01,19,30
"But that’s the thing, right? This is the argument they will bring up. You are endangering others. You should stay home for the people that that, even if you’re fine, even if you know you’re going to be okay, there’s certain people that will not be okay because of your actions. They might get exposed to this thing that we don’t have a vaccine for, we don’t have a universally accepted treatment for, and then we need to… There’s two arguments, right?",Joe Rogan, 01,19,46
"One argument is we need to keep going, protect the weak, protect the sick, but let’s open up the economy. The other argument is stop placing money over human lives and let’s shelter in place until we come up with some sort of a decision and let’s figure out some way to develop some sort of a universal income, universal basic income plan, or something like that, to feed people during this time while we make this transition.",Joe Rogan, 01,20,12
"Yeah. I think there’s a, as I said, my opinion is if somebody wants stay home, they should stay home. If somebody doesn’t want to stay home, they should not be compelled to stay home. That’s my opinion. If somebody doesn’t like that, well that’s my opinion. This notion though, that you can just sort of send checks out to everybody and things will be fine is not true.",Elon Musk, 01,20,41
"Obviously several have this absurd view that the economy is like some magic horn of plenty. Like it just makes stuff. There’s just a magic horn of plenty and the goods and services, they just come from this magic horn of plenty. And then if somebody has more stuff than somebody else it’s because they took more from this magic horn of plenty. Now let me just break it to the fools out there.",Elon Musk, 01,21,08
"If you don’t make stuff, there’s no stuff. Yeah. So, if you don’t make the food, if you don’t process the food, you don’t transport the food, medical treatment, getting your teeth fixed, there’s no stuff. They’ve become detached from reality. You can’t just legislate money and solve these things. If you don’t make stuff, there is no stuff, obviously. we’ll run out of the stores, run out of the… the machine just grinds to a halt.",Elon Musk, 01,21,38
"But the initial thought on this virus, the real fear was that this was going to kill hundreds of thousands, if not millions of people, instantaneously in this country. It was going to do it very quickly if we didn’t hunker down, if we didn’t shelter in place, if we didn’t quarantine ourselves, or lock down. Do you think that the initial thought was a good idea based on the perception that this was going to be far more deadly than it turned out to be?",Joe Rogan, 01,22,29
Maybe. I think briefly.,Elon Musk, 01,23,00
Briefly?,Joe Rogan, 01,23,02
"Briefly, but I think if any kind of sensible examination of what happened in China would lead you to conclusion that that is obviously not going to occur. This virus retreated in Wuhan. There’s was like, I don’t know, hundred thousand people a day leaving Wuhan. So, it went everywhere very fast throughout China, throughout the rest of the world, and the fatality rate was low.",Elon Musk, 01,23,03
"Don’t you think though, it’s difficult to filter the information that’s coming out of China. To accurately, really get a real true representation of what happened. The propaganda machine is very strong. The World Health Organization appears to have been complicit with a lot of their propaganda.",Joe Rogan, 01,23,34
"The thing is that American companies have massive supply chains in China. Like Tesla, for example. We have hundreds of suppliers. Like tier one, two, three, four suppliers throughout China. So, we know if they are able to make stuff or not. We know if they, if they have issues or not. China is back at full steam and pretty much every US company has some significant number of suppliers in China. So you know if they’re able to provide things or not or if there’s high mortality rate. Tesla has like 7,000 people in China. So, zero people died.",Elon Musk, 01,23,57
Mm-hmm (affirmative).,Joe Rogan, 01,24,45
Zero.,Elon Musk, 01,24,46
Okay. So that’s a real statistic that’s coming from-,Joe Rogan, 01,24,48
Yeah.,Elon Musk, 01,24,51
Yeah. You know those people.,Joe Rogan, 01,24,52
Yeah. We literally run payroll.,Elon Musk, 01,24,53
Do you think there’s a danger of this… Yeah?,Joe Rogan, 01,24,55
I’m like-,Elon Musk, 01,24,57
Same folks are there,Joe Rogan, 01,24,59
Yeah. Still there.,Elon Musk, 01,25,00
"Do you think there’s a danger of politicizing this? Where this becomes like opening up the country as Donald Trump’s, it’s his goal and then anything he does, there’s people that are going to oppose it and come up with some reasons why he’s wrong, particularly in this climate, where as we’re leading up to November and the 2020 elections. Do you think that this is a real danger in terms of public’s perception that Trump wants to open it up so they knee jerk oppose it because they oppose Trump?",Joe Rogan, 01,25,01
"I think this has been politicized in both directions, really. Which is not great. Yeah. But like I said [inaudible 01:25:54] I think there’s the question of where do civil liberties fit in this picture? And what can the government make you do, what can they make you not do, and what’s okay? And I think we went too far.",Elon Musk, 01,25,34
"Do you think it’s one of those things where once we’ve gone in this certain direction, it’s very difficult to make a correction? Make an adjustment to realize like, okay, we thought it was one thing. It’s not good, but it’s not what we thought it was going to be. It’s not what we feared, so let’s back up, and reconsider, and let’s do this publicly and say we were acting based on the information that we had initially. That information appears to be faulty and here’s how we move forward while protecting civil liberties, while protecting what essentially this country is founded on, which is a very agreed upon amount of freedom that we respect and appreciate.",Joe Rogan, 01,26,15
"Absolutely. Well, I think we’re rapidly moving towards opening up the country. It’s going to happen extremely fast over the next few weeks. So, yeah. Something that would be helpful just to add from an informational level is when reporting Covid cases to separate out diagnosed with Covid versus had Covid like symptoms.",Elon Musk, 01,26,58
Yes.,Joe Rogan, 01,27,27
"Because the list of symptoms that could be Covid at this point is like a mile long. So, it’s hard to, if you’re ill at all it’s like you could recover it. So, just to give people better information. Definitely diagnosed with Covid or had Covid like symptoms. We’re conflating those two so that it looks bigger than it is. Then if somebody dies, was Covid a primary cause of the death or not? I mean, if somebody has Covid, gets eaten by a shark, we find their arm, their arm has Covid, it’s going to get recorded as a Covid death.",Elon Musk, 01,27,29
Is that real?,Joe Rogan, 01,28,09
Basically.,Elon Musk, 01,28,11
"Not that bad, but heart attacks, strokes-",Joe Rogan, 01,28,11
You get hit by a bus.,Elon Musk, 01,28,15
Cancer.,Joe Rogan, 01,28,15
"If you get hit by a bus, go to the of the hospital and die, and they find that you have Covid, you will be recorded as a Covid death.",Elon Musk, 01,28,16
Why would they do that though?,Joe Rogan, 01,28,24
"Well right now, the road to hell is paved with good intentions. I mean, it’s mostly paved with bad intentions, but there’s some good intentions [inaudible 01:28:37] in there, too. And the stimulus bill that was intended to help with the hospitals that were being overwrought with Covid patients created an incentive to record something as Covid that is difficult to say no to, especially if your hospital’s going bankrupt for lack of other patients. So, the hospitals are in a bind right now. There’s a bunch of hospitals, they’re furloughing doctors, as you were mentioning. If your hospital’s half full, it’s hard to make ends meet. So now you’ve got like, “If I just check this box, I get $8,000. Put them on a ventilator for five minutes, I get $39,000 back. Or, I got to fire some doctors.” So, this is tough moral quandary. It’s like, what are you going to do? That’s the situation we have.",Elon Musk, 01,28,27
"What the way out of this? What do you think is, if you had the president’s ear, or if people wanted to just listen to you openly, what do you think is the way out of this?",Joe Rogan, 01,29,36
"Let’s clear up the data. Clear up the data. So like I said, somebody should be recorded as Covid only if somebody has been tested. Has has received a positive, positive Covid test. Not if they simply have symptoms, one of like a hundred symptoms. And then if it is a Covid death, it must be separated. Was Covid a primary reason for death, or did they also have stage three cancer, or heart disease, emphysema, and got hit by bus and had Covid?",Elon Musk, 01,29,46
Yeah. I’ve read all this stuff about them diagnosing people as a Covid death despite other variables.,Joe Rogan, 01,30,16
This is not a question. This is what is occurring.,Elon Musk, 01,30,26
And where are you reading this from? Where are you getting this from?,Joe Rogan, 01,30,31
The public health officials have literally said this. This is not a question mark.,Elon Musk, 01,30,38
"Right. But this is unprecedented, right? If someone had the flu but also had a heart attack, they would assume that that person died of a heart attack.",Joe Rogan, 01,30,39
Yes.,Elon Musk, 01,30,47
"Yeah. So this is unprecedented. Is this because this is such a popular, I don’t want to use that word the wrong way, but that’s what I mean, popular subject? And financial incentives.",Joe Rogan, 01,30,48
"Yes. And like I said, this is not some sort of a moral [inaudible 01:31:07] of hospital administrators. It’s just, they’re in it. They’re in a tough spot here. They actually don’t have enough patients to pay everyone without furloughing doctors and firing staff. They’re running potentially going bankrupt. So then they’re like, “Okay, well the stimulus bill says we get all this money if it’s a Covid death.” I’m like, “Okay. They coughed before they died.” In fact, they’re not even diagnosed with Covid. If you had weakness, a cough, shortness of breath. Frankly, I’m not sure how you die without those things.",Elon Musk, 01,31,01
Yeah.,Joe Rogan, 01,31,51
Yeah.,Elon Musk, 01,31,52
"Right. There’s so many different things that you could attribute to Covid, too. There’s so many symptoms. There’s diarrhea, headaches, dehydration, cough.",Joe Rogan, 01,31,53
"Yes. But to be clear, you don’t even need to have gotten a Covid diagnosis. You simply need to have had one of many symptoms and then have died for some reason and it’s Covid. So, then it makes the death count look very high and we’re then stuck in a bind because it looks like the death count’s super high and not going down like it should be. So then, we should keep whatever, keep the shelter in place stuff there, and keep people in their homes, confine people to homes. So we need to break out of this. We’re stuck in a loop. And I think the way to break out of this loop is to have clarity of information.",Elon Musk, 01,32,03
"The clarity of information will certainly help, but altering perceptions, public perception, from people that are basically in a panic, there’s a lot of, essentially, well, at least a month ago-",Joe Rogan, 01,32,51
"…there’s a lot of, essentially… Well at least a month ago, we’re clearly in a panic. I mean, when you look around April 5th, April 6th, people were really freaking out. But here we are May, and May people are relaxing a little bit.",Joe Rogan, 01,33,03
Yes.,Elon Musk, 01,33,17
"They’re realizing like, “Hey, I actually know a couple of people that got it. It was just a cough,” and I know some people that got it where nothing happened.",Joe Rogan, 01,33,17
"I know a lot of people who got it. I know zero people who died, but I know a lot of people that got it.",Elon Musk, 01,33,24
It’s not what we feared. We feared something much worse.,Joe Rogan, 01,33,34
That is correct.,Elon Musk, 01,33,38
"So the adjustment’s difficult to make. So you said, first of all we need real data. We need-",Joe Rogan, 01,33,39
"Just parse out the data. Don’t lump it all together. If you give people, just parse out the data better, clearer information about, like I said, was this an actual COVID diagnosis? Did they get the test and the test came back positive or do they just have some symptoms? Just parse those two out, and then parse out just, if somebody died, did they even have a COVID test or did they just have one of many symptoms. How do you die without weakness? I don’t know. It’s impossible, basically.",Elon Musk, 01,33,44
"Of course. Yeah, it’s a good point.",Joe Rogan, 01,34,22
"If you’re going to die, you’re going to have shortness of breath, weakness and you might cough a little.",Elon Musk, 01,34,23
So was it quantified? Was it?,Joe Rogan, 01,34,29
"Yeah, did that person, did they actually have a COVID test and the test come back positive? And then if they died, did they die where COVID was… It doesn’t have to be the main cause, but it was a significant contributor to their death or was it not a significant contributor to the death?",Elon Musk, 01,34,31
"Right. It’s not as simple as just because you had COVID, covert, killed you.",Joe Rogan, 01,34,50
Definitely not.,Elon Musk, 01,34,55
Right.,Joe Rogan, 01,34,56
Yeah.,Elon Musk, 01,34,57
Yeah.,Joe Rogan, 01,34,57
"I mean, people die all the time and they have like flu and other colds and we don’t say that they died of those flu and other colds.",Elon Musk, 01,34,58
"Well, that’s what’s so weird about this.",Joe Rogan, 01,35,04
It’s absurd.,Elon Musk, 01,35,05
"It’s so popular and I use that word in a weird way, but it’s so popular that we’ve kind of forgotten people die of pneumonia every day.",Joe Rogan, 01,35,06
Yeah.,Elon Musk, 01,35,15
"People die of… The flu didn’t take a break. “Oh, COVID’s got this. I’m going to sit this one out. I’m going to be on the bench. I’m going to wait until COVID’s done before I jump back into the game of killing people.” No, the flu is still here killing people.",Joe Rogan, 01,35,15
"I mean, every year in the world, several hundred thousand people die directly of the flu.",Elon Musk, 01,35,29
Yeah.,Joe Rogan, 01,35,33
Not tangentially.,Elon Musk, 01,35,34
Right.,Joe Rogan, 01,35,36
Not every-,Elon Musk, 01,35,36
"61,000 in this country last year.",Joe Rogan, 01,35,37
Yeah. And we’re only 5% of the world.,Elon Musk, 01,35,40
And then there’s cigarettes.,Joe Rogan, 01,35,42
"So, oh man, cigarettes. Now cigarettes will really kill you.",Elon Musk, 01,35,43
"That’s a weird one. Right? We’re terrified of this disease that we’re projected. It could potentially kill 100,000 if not 200,000 Americans this year. But With cigarettes kill 500,000 and you don’t hear a peep out of any politician. There’s no one running for Congress that’s trying to ban cigarettes. There’s no one running for Senate that wants to put some education plan in place that’s going to stop cigarettes in their tracks.",Joe Rogan, 01,35,46
"Yeah. I mean, several years ago, or maybe longer, 10 years ago, I helped make a movie called Thank You for Smoking.",Elon Musk, 01,36,11
"Oh, I saw that.",Joe Rogan, 01,36,19
"Yeah. It’s, it’s crazy. Barbecuing your lungs is just bad news. It’s not good. Turning your lungs into smoked beef, not great. So yeah. Tylenol, by the way, also kills a lot of people.",Elon Musk, 01,36,20
What is the number for Tylenol every year?,Joe Rogan, 01,36,49
"I’m not sure the exact number. But until the opioid crisis, I believe Tylenol was the number one killer of all drugs.",Elon Musk, 01,36,52
Wow.,Joe Rogan, 01,36,59
"Because basically, if you get drunk and take a lot of Tylenol, acetaminophen, essentially it causes liver failure. So people would like get wasted and then have a headache and then pop a ton of Tylenol, its curtains.",Elon Musk, 01,37,00
Wow.,Joe Rogan, 01,37,18
Yeah.,Elon Musk, 01,37,19
Curtains is a funny word.,Joe Rogan, 01,37,19
"Yeah. But nobody’s, raging against Tylenol.",Elon Musk, 01,37,22
"Yeah. It’s weird. Acceptable deaths are weird. And that’s the slippery slope about this. People shaming people for wanting to go back to work. “And other people are going to die.” Well, if you drive, do you drive? [inaudible 01:37:40] you should stop driving because people die from driving. So you, you definitely should fill up all the swimming pools because like 50 people die every day in this country from swimming. So let’s not swim anymore.",Joe Rogan, 01,37,26
"Yeah, water is really dangerous.",Elon Musk, 01,37,53
We need to chop down all the coconut trees.,Joe Rogan, 01,37,55
Stop water.,Elon Musk, 01,37,56
Coconuts kill 150 people every year.,Joe Rogan, 01,37,57
Yes.,Elon Musk, 01,37,59
Cut down all the coconut trees. We need those people.,Joe Rogan, 01,37,59
Yes.,Elon Musk, 01,38,02
"It’s, at a certain point in time, it’s… Yeah, we’re vulnerable and also, we have a finite existence no matter what.",Joe Rogan, 01,38,02
We do. Nobody lives forever.,Elon Musk, 01,38,12
Right.,Joe Rogan, 01,38,14
"I mean I think, you want to look at say deaths as like the, “but for this disease, whatever, they would have lived X number of years.”",Elon Musk, 01,38,16
Yeah.,Joe Rogan, 01,38,25
"So, if somebody dies when they’re 20 and could have lived till 80, they lost 60 years. But if somebody dies when they’re 80 and they might’ve lived till 81 they lost one year.",Elon Musk, 01,38,25
Yes.,Joe Rogan, 01,38,37
"So it’s, “How many life years were lost” is probably the right metric to use.",Elon Musk, 01,38,37
"I don’t read my own comments, but I do read other people’s comments. And I was reading this one little Twitter beef that was going on where someone was saying that COVID takes an average of 10 years off people’s lives and we should appreciate those 10 years. And then someone else said-",Joe Rogan, 01,38,45
It’s not true.,Elon Musk, 01,39,00
I’m sure it’s not true.,Joe Rogan, 01,39,01
Yeah definitely not.,Elon Musk, 01,39,01
"It’s the Twitter, it’s the world.",Joe Rogan, 01,39,02
Oh my god.,Elon Musk, 01,39,03
But someone else said “The average age of people who die from COVID is older than the average age people die.”,Joe Rogan, 01,39,04
"Let’s just say, it’s about the same.",Elon Musk, 01,39,13
"That’s a beautiful way of looking at it. I mean it’s unfortunate. It sucks, but it sucks if grandpa dies of Alzheimer’s or emphysema or leukemia. It sucks. It sucks when someone you love dies.",Joe Rogan, 01,39,16
"Yes. I mean actually, I think a lesson to be taken here that I think is quite important is that, if you have your grandparents and that they’re age of grandparents, really be careful with, any kind of flu or cold or something that that is not dangerous to kids or young adults, but is dangerous to the elderly. Basically, if your kid’s got a runny nose, they should stay away from their grandparents, no matter what it is. There’re things where a young immune system has no problem, an older one has a problem. In fact a lot of the deaths are literally, it’s tragic, but they’re, they’re intra-family. It’s, the little kid had a cold or flu and they [crosstalk 01:40:31].",Elon Musk, 01,39,29
Give it to grandpa.,Joe Rogan, 01,40,31
"Yeah. They had the family gathering. And they don’t know that this is a big deal. But it’s just important to remember when you get old, your immune system’s just not that strong. And so, just be careful with your loved ones who are elderly.",Elon Musk, 01,40,32
"And I think there is some true objective understanding of the immune system and the ways to boost that immune system. And I really think that information should be distributed in a way, a nonjudgmental way, but like, “Look, this is a scientifically proven way that we can boost our immune system and it might save your life and it might save the life of your loved ones.” And maybe we could teach this to our grandparents and our parents and people that are vulnerable, vitamin C, heat shock proteins, all these different variables that we know contribute to a stronger immune system.",Joe Rogan, 01,40,48
"Yeah. Actually, just a thing that is tough. As you get older, you tend to put on weight, certainly that’s happening with me. The older I get like, “Damn, sure harder to stay lean.” That’s for sure. And so, actually, being overweight is a big deal. It’s a fact. Yeah.",Elon Musk, 01,41,30
The New York hospital said it was the number one factor for severe COVID symptoms was obesity. That was the number one factor.,Joe Rogan, 01,42,00
"That’s correct. It is, yes, exactly.",Elon Musk, 01,42,08
"But it’s also, we live in a world where people want to be sensitive to other people’s feelings.",Joe Rogan, 01,42,12
"Yeah, absolutely.",Elon Musk, 01,42,18
So they don’t want to bring up the fact that being fat’s bad for you. It’s a judgmental on your…,Joe Rogan, 01,42,19
Food’s great.,Elon Musk, 01,42,25
Yeah.,Joe Rogan, 01,42,26
Yeah.,Elon Musk, 01,42,26
I do love food.,Joe Rogan, 01,42,27
"Yeah. I mean to be totally frank, I mean, speaking for myself, I’d rather read tasty food and live a shorter life.",Elon Musk, 01,42,28
Yeah. Those moments of enjoying a great meal.,Joe Rogan, 01,42,37
Yeah.,Elon Musk, 01,42,40
"And then even talking about it, they’re valuable. They’re worth something. Yeah. We don’t want to eat Soylent Green and live to be 160.",Joe Rogan, 01,42,41
"No. Tasty food is great, it’s one of the best things about life.",Elon Musk, 01,42,47
It really is. Yeah. It’s an art form as well.,Joe Rogan, 01,42,53
"Yeah, absolutely.",Elon Musk, 01,42,55
"It’s like fine food, it’s a delicious sandcastle. It’s temporary. It doesn’t last very long. But there’s something about it that’s very pleasing.",Joe Rogan, 01,42,55
"Yeah. I don’t know what advice to give, maybe having tasty food but smaller amounts of it.",Elon Musk, 01,43,08
"Yeah. And I think, regulated feeding windows, really the way to go, some sort of an intermittent fasting approach.",Joe Rogan, 01,43,19
Sure.,Elon Musk, 01,43,27
"When I started doing that, I found myself to be quite a bit healthier. When I’ve deviated from that I’ve gained weight.",Joe Rogan, 01,43,27
So what?,Elon Musk, 01,43,34
16 hours?,Joe Rogan, 01,43,35
"Well Okay, yeah.",Elon Musk, 01,43,36
I like 16 hours. Yeah.,Joe Rogan, 01,43,37
So like at night or at a certain [crosstalk 01:43:40],Elon Musk, 01,43,38
"Yeah. So I get to a certain point and then I count out, I usually hit the stopwatch on my phone and then I look at 15 hours, and I’m like “Oh, okay. Got an hour before I can eat.”",Joe Rogan, 01,43,40
Yeah.,Elon Musk, 01,43,52
And so anything in between that is just water or coffee.,Joe Rogan, 01,43,52
"Actually, this may be a useful bit of advice for people, but eating before you go to bed is a real bad idea and actually negatively affects your sleep. And it can actually cause heartburn, that you don’t even know is happening, and that subtle heartburn, it affects your sleep because your horizontal and your body’s digesting. So if you want to improve the quality of your sleep and be healthier, it’s do not eat right before we go to sleep. It’s one of the worst things you could do.",Elon Musk, 01,43,56
"Some of the biggest mistakes I’ve ever made. I’ve done that, particularly after comedy shows, if I’m starving, I’ll come home and I’ll eat. And then I go to bed and I just feel like shit and I wake up in the middle of the night.",Joe Rogan, 01,44,31
"It’s going to crush your sleep and it’s going to damage your pyloric sphincter and your esophagus. In fact drinking and then going to sleep, that’s one of the worst things you could do.",Elon Musk, 01,44,43
Yes.,Joe Rogan, 01,44,54
So just try to avoid drinking and eating-,Elon Musk, 01,44,56
"Booze, drinking booze.",Joe Rogan, 01,45,01
"Yeah, exactly. Small amounts of alcohol, evidence suggests it doesn’t have a negative effect on-",Elon Musk, 01,45,03
I put it in the same category as delicious food. It kind of makes things a little more fun. I like it.,Joe Rogan, 01,45,15
"Yeah. I mean some of the people who’ve lived the longest, there was a woman in France who I think, maybe has the record or close to it, and she had a glass of wine every day. Small amounts is fine. But yeah, I learned this like quite late in life. It’s like, just avoid having alcohol and avoid eating at least two or three hours before going to sleep, and your quality of sleep will improve and your general health will improve a lot.",Elon Musk, 01,45,19
"For sure, yeah.",Joe Rogan, 01,45,51
"It’s a big deal and I think, not widely known.",Elon Musk, 01,45,52
Do you have time to exercise?,Joe Rogan, 01,45,54
A little bit.,Elon Musk, 01,45,59
Do you have a trainer or anything?,Joe Rogan, 01,46,01
"I do, although I haven’t seen him for a while. But yeah, especially if I’m out, say we’re working on Starship or something South Texas and I’m just living in my, I got a little house there in Boca Chica village, and I don’t have much to do, so. Or I’m working and I’ll just lift some weights or something. Some people love running, I don’t love running. But if-",Elon Musk, 01,46,03
What do you like to do exercise wise?,Joe Rogan, 01,46,35
"To be totally frank, I wouldn’t exercise at all if I could. I prefer not to exercise, but if I’m going to exercise, I’ll lift some weights and then kind of run on a treadmill and maybe watch a show, if there’s a compelling show that pulls you in.",Elon Musk, 01,46,39
"Right. Yeah. That’s a good thing to do. Watch a good movie or episode of Black Mirror or something like that, it’s great.",Joe Rogan, 01,46,57
"Man, don’t watch Black Mirror before going to bed either.",Elon Musk, 01,47,04
Well don’t watch Black Mirror today. It’s too fucking accurate.,Joe Rogan, 01,47,06
"Yeah, exactly. It’s like, “Wait, that’s already happened in real life.”",Elon Musk, 01,47,10
Yeah. They’re too close.,Joe Rogan, 01,47,13
It’s too close.,Elon Musk, 01,47,15
"Well even… Jamie, didn’t you say that the guy who makes Black Mirror-",Joe Rogan, 01,47,16
Today at… Oh my Mic’s off. Yeah he said it’s not a good time to start season six.,Jamie, 01,47,19
"Yeah, he wants to hold off because reality-",Joe Rogan, 01,47,25
He’s nailed it?,Elon Musk, 01,47,27
…is black mirror.,Joe Rogan, 01,47,28
Oh man.,Elon Musk, 01,47,29
"It’s like he’s going to have to reassess and attack it from a different angle. you should try something that’s fun to do. That’s not just, like learn a martial art or something like that.",Joe Rogan, 01,47,30
I did martial arts when I was kid. Liked it.,Elon Musk, 01,47,43
Did you? What’d you do?,Joe Rogan, 01,47,44
"I did a TaeKwonDo. I did Karate, [foreign language 00:14:51] [crosstalk 01:47:52].",Elon Musk, 01,47,48
"Oh, alright, cool.",Joe Rogan, 01,47,55
And Judo.,Elon Musk, 01,47,57
"Oh, so you really branched out.",Joe Rogan, 01,47,58
Yeah. And did Brazilian Jujitsu briefly.,Elon Musk, 01,47,59
Did you? Where?,Joe Rogan, 01,48,07
In Palo Alto.,Elon Musk, 01,48,09
Really?,Joe Rogan, 01,48,10
Yeah.,Elon Musk, 01,48,10
"Oh no shit. I was going to suggest that. That’s a great thing for people. That’s a thing about jujitsu, if you look at it from the outside you think, “Oh bunch of meatheads strangling each other.”",Joe Rogan, 01,48,11
Sure.,Elon Musk, 01,48,22
"But they’re some of the smartest people I know, are jujitsu fiends because, first of all, they get introduced to it because usually either they want to exercise or learn some self-defense, but then they realize that it’s essentially like a language with your body. Like you’re having an argument with someone with some sort of a physical language. And it’s really complex and the more access to vocabulary and the sharper your words are, the more you’ll succeed in these ventures. That’s really an accurate analogy of what jujitsu is.",Joe Rogan, 01,48,22
"Yeah. I mean, I kind of got, probably like a lot of people, for the way-early day, the first MMA fights and Royce Gracie, and he was just like incredible. And it was like-",Elon Musk, 01,48,57
Technique.,Joe Rogan, 01,49,09
"Yeah. He was winning against people way bigger and that kind of thing. And it was just like “Whoa, this is cool.”",Elon Musk, 01,49,10
"It was what martial arts were supposed to be, when we were kids. When you saw Bruce Lee fuck-up all these big giant guys. Like, “Wow, martial arts allow you to beat someone far bigger and stronger than you.”",Joe Rogan, 01,49,15
Right.,Elon Musk, 01,49,25
Most of the time that’s not real.,Joe Rogan, 01,49,27
"Especially if they know martial arts too. It’s like, “Oh no.”",Elon Musk, 01,49,29
"Yes. But in the UFC, when Royce Gracie, off of his back, was strangling Dan Severn with his legs. You’re like, “Holy shit, this guy’s being pinned by this big giant wrestler, and he wraps his legs around his neck, and chokes him to the point that guy has to surrender.” Amazing.",Joe Rogan, 01,49,33
"Yeah, it was amazing. I mean Royce got beaten up pretty bad in some of those.",Elon Musk, 01,49,50
"Well, he definitely had some rough fights-",Joe Rogan, 01,49,55
But he won.,Elon Musk, 01,49,56
"He won. Yeah. He’s a legend. But what it showed, I mean I’m a huge lover of jujitsu, what it showed is that there is a method for diffusing these situations with technique and knowledge. And I think it’s also a great way to exercise too because it’s almost like the exercise is secondary to the learning of the thing. The exercise is like you want to develop strength and conditioning just so that you could be better at doing the thing. And the analogy that I use is, imagine if you had a race car and you could actually give the race car better handling and more horsepower just from your own focus and effort. That’s really what it’s like.",Joe Rogan, 01,49,58
"Yeah, totally.",Elon Musk, 01,50,39
Yeah. When am I going to be able to-,Joe Rogan, 01,50,40
"My kids… I should say, I sent my kids to jujitsu since they were like, I don’t know, six.",Elon Musk, 01,50,43
"Oh, really?",Joe Rogan, 01,50,50
Yeah.,Elon Musk, 01,50,50
"Oh, that’s awesome.",Joe Rogan, 01,50,51
[crosstalk 01:50:51]. Yeah.,Elon Musk, 01,50,51
It’s a great thing to learn. It really is.,Joe Rogan, 01,50,53
"Yes, seems like a good… Yeah.",Elon Musk, 01,50,56
"Yeah. Maybe something like… mean even if you just have someone who holds the pads for you, you could get a workout in and it’d be fun.",Joe Rogan, 01,50,56
Sure.,Elon Musk, 01,51,03
When am I going to be able to buy one of them roadsters? When’s that happening?,Joe Rogan, 01,51,06
"Well I can’t say exactly when, but we got to get it… This COVID thing’s kind of thrown us for a loop.",Elon Musk, 01,51,09
I’m sure.,Joe Rogan, 01,51,22
"So, not to blame everything on COVID, but it’s certainly set us back on progress for some number of months. But I mean things were going to get done. Ahead of Roadster are, ramping up model Y production, that’ll be a great car, it is a great car, getting the Berlin Giga-factory built, and also building Y getting expanding the Shanghai factory, which is going great and get this Cybertruck, Semi truck, Roadster. Roadster is kind of like dessert. We gotta get the meat and potatoes and greens and stuff.",Elon Musk, 01,51,23
But Roadster comes before cyber truck?,Joe Rogan, 01,52,18
"I mean, I think we should do Cybertruck first, before Roadster.",Elon Musk, 01,52,24
Interesting.,Joe Rogan, 01,52,29
Now some of the-,Elon Musk, 01,52,29
I’m not mad at that.,Joe Rogan, 01,52,30
"Some of the things for Roadster, the tri-motor, plaid powertrain, we’re going to have that in model S. So that’s like part one of the ingredients that’s needed for Roadster, is the plaid powertrain, the more advanced battery pack. That kind of thing.",Elon Musk, 01,52,31
I wanted to ask you about this before I forgot. There’s a company that’s called Apex is taking your Teslas and they’re giving it a wider base and wider tires and a little bit more advanced suspension.,Joe Rogan, 01,52,48
Sure.,Elon Musk, 01,53,01
How do you feel about that?,Joe Rogan, 01,53,01
"Sounds good to me, sure.",Elon Musk, 01,53,02
Do you work with them? Are you cool with those people?,Joe Rogan, 01,53,02
"Yeah, I mean, go ahead.",Elon Musk, 01,53,05
They’re jazzing stuff up with carbon fiber and doing a bunch of interior choices. You’re cool with… You can’t fuck with that. You don’t have time. So is it good that someone comes along and has that sort of specialty operation?,Joe Rogan, 01,53,08
Yeah. I’ve got no problem.,Elon Musk, 01,53,20
"That’s what it’s called, right? It’s like… Jamie, is it called Apex?",Joe Rogan, 01,53,20
Yeah. I got a Unplugged Performance S-APEX.,Jamie, 01,53,23
That’s right. Unplugged Performance. Yeah.,Joe Rogan, 01,53,26
